SR_NUMBER,SR_TYPE,SR_SHORT_CODE,CREATED_DEPARTMENT,OWNER_DEPARTMENT,STATUS,ORIGIN,CREATED_DATE,LAST_MODIFIED_DATE,CLOSED_DATE,STREET_ADDRESS,CITY,STATE,ZIP_CODE,STREET_NUMBER,STREET_DIRECTION,STREET_NAME,STREET_TYPE,DUPLICATE,LEGACY_RECORD,LEGACY_SR_NUMBER,PARENT_SR_NUMBER,COMMUNITY_AREA,WARD,ELECTRICAL_DISTRICT,ELECTRICITY_GRID,POLICE_SECTOR,POLICE_DISTRICT,POLICE_BEAT,PRECINCT,SANITATION_DIVISION_DAYS,CREATED_HOUR,CREATED_DAY_OF_WEEK,CREATED_MONTH,X_COORDINATE,Y_COORDINATE,LATITUDE,LONGITUDE,LOCATION
SR24-02175048,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,11/30/2024 11:08,11/30/2024 11:08,,2023 W 69TH PL,Chicago,Illinois,60636,2023,W,69TH,PL,FALSE,FALSE,,,67,17,,K038,3,7,735,33,,11,7,11,1163956.745,1858486.424,41.767317,-87.6745935,"(41.76731700094004, -87.67459350000192)"
SR24-01627895,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,8/27/2024 14:54,8/27/2024 14:55,,2052 W 70TH ST,,,,2052,W,70TH,ST,FALSE,FALSE,,,67,17,,K038,3,7,735,33,,14,3,8,1163661.092,1858297.217,41.766804,-87.6756825,"(41.766804000940034, -87.67568250000191)"
SR25-00117743,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,1/23/2025 10:12,1/23/2025 10:12,,2053 E 79TH ST,Chicago,Illinois,60617,2053,E,79TH,ST,FALSE,FALSE,,,46,8,,V041,1,4,414,36,,10,5,1,1191473.19,1852931.039,41.75145,-87.573915,"(41.75145000094, -87.5739150000019)"
SR25-00479730,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,3/26/2025 10:55,3/26/2025 10:55,,2101 S CHRISTIANA AVE,,,,2101,S,CHRISTIANA,AVE,FALSE,FALSE,,,30,24,,H026,2,10,1024,39,,10,4,3,1154431.915,1889802.332,41.853447,-87.708672,"(41.853447000940356, -87.70867200000191)"
SR25-00434291,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,3/18/2025 14:39,3/18/2025 14:39,,2101 W 65TH ST,Chicago,Illinois,60636,2101,W,65TH,ST,FALSE,FALSE,,,67,16,,K037,2,7,726,24,,14,3,3,1163459.737,1861501.484,41.77560117,-87.67633083,"(41.7756011722217, -87.6763308287203)"
SR25-00282741,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,2/21/2025 16:49,2/21/2025 16:50,,2115 N MILWAUKEE AVE,,,,2115,N,MILWAUKEE,AVE,FALSE,FALSE,,,22,1,,J017,3,14,1431,43,,16,6,2,1158812.931,1914026.23,41.919831,-87.6919275,"(41.919831000940626, -87.6919275000019)"
SR25-00335609,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,3/3/2025 15:02,3/3/2025 15:02,,2121 W 70TH ST,,,,2121,W,70TH,ST,FALSE,FALSE,,,67,17,,K038,3,7,735,33,,15,2,3,1163325.85,1858147.069,41.766399,-87.6769155,"(41.76639900094005, -87.6769155000019)"
SR25-00149657,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,1/29/2025 9:21,1/29/2025 9:21,,2130 S SAWYER AVE,Chicago,Illinois,60623,2130,S,SAWYER,AVE,FALSE,FALSE,,,30,24,,H026,2,10,1022,39,,9,4,1,1155011.196,1889486.671,41.85256921,-87.70655428,"(41.85256920875393, -87.70655427720442)"
SR24-01592427,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,8/21/2024 20:01,8/21/2024 20:01,,2131 S HOMAN AVE,Chicago,Illinois,60623,2131,S,HOMAN,AVE,FALSE,FALSE,,,30,24,,H026,2,10,1024,39,,20,4,8,1154044.52,1889509.983,41.85265249,-87.71010167,"(41.85265248626239, -87.7101016736695)"
SR25-00120160,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,1/23/2025 15:20,1/23/2025 15:20,,2139 W 71ST ST,Chicago,Illinois,60636,2139,W,71ST,ST,FALSE,FALSE,,,67,17,,K039,3,7,735,33,,15,5,1,1163168.929,1857473.531,41.764554,-87.6775095,"(41.76455400094004, -87.6775095000019)"
SR25-00456514,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,3/21/2025 19:36,3/21/2025 19:36,,2139 W PERSHING RD,Chicago,Illinois,60609,2139,W,PERSHING,RD,FALSE,FALSE,,,61,12,,K031,2,9,924,21,,19,6,3,1162575.386,1878679.024,41.822757,-87.6790935,"(41.82275700094026, -87.6790935000019)"
SR25-00291617,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,2/24/2025 5:47,2/24/2025 5:47,,2140 W 50TH ST,Chicago,Illinois,60609,2140,W,50TH,ST,FALSE,FALSE,,,61,15,,K033,3,9,931,15,,5,2,2,1162764.578,1871556.868,41.803209,-87.6785985,"(41.803209000940186, -87.67859850000191)"
SR24-01505431,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,8/8/2024 13:32,8/8/2024 13:32,,2149 E 90TH ST,Chicago,Illinois,60617,2149,E,90TH,ST,FALSE,FALSE,,,48,7,,V043,1,4,413,32,,13,5,8,1192257.339,1845643.75,41.731434,-87.571278,"(41.73143400093993, -87.5712780000019)"
SR24-01967493,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,10/23/2024 15:08,10/23/2024 15:09,,215 W 111TH PL,Chicago,Illinois,60628,215,W,111TH,PL,FALSE,FALSE,,,49,9,,P049,2,5,522,37,,15,4,10,1176755.619,1830877.518,41.691276,-87.628509,"(41.69127600093978, -87.62850900000191)"
SR25-00411531,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,3/14/2025 16:27,3/14/2025 16:27,,216 W 110TH PL,Chicago,Illinois,60628,216,W,110TH,PL,FALSE,FALSE,,,49,9,,P048,1,5,513,28,,16,6,3,1176689.569,1831739.54,41.693643,-87.628725,"(41.69364300093977, -87.62872500000192)"
SR25-00411528,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,3/14/2025 16:26,3/14/2025 16:26,,216 W 110TH PL,Chicago,Illinois,60628,216,W,110TH,PL,FALSE,FALSE,,,49,9,,P048,1,5,513,28,,16,6,3,1176689.569,1831739.54,41.693643,-87.628725,"(41.69364300093977, -87.62872500000192)"
SR25-00301647,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,2/25/2025 12:58,2/25/2025 12:58,,219 W 108TH PL,Chicago,Illinois,60628,219,W,108TH,PL,TRUE,FALSE,,SR24-02225854,49,9,,P048,1,5,513,39,,12,3,2,1176652.793,1832929.774,41.69691,-87.628824,"(41.69691000093979, -87.62882400000193)"
SR24-02225854,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,12/10/2024 8:19,2/25/2025 12:58,,219 W 108TH PL,Chicago,Illinois,60628,219,W,108TH,PL,FALSE,FALSE,,,49,9,,P048,1,5,513,39,,8,3,12,1176652.793,1832929.774,41.69691,-87.628824,"(41.69691000093979, -87.62882400000193)"
SR25-00307644,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,2/26/2025 11:45,2/26/2025 11:45,,220 S STATE ST,Chicago,Illinois,60604,220,S,STATE,ST,FALSE,FALSE,,,32,34,,P023,1,1,113,33,,11,4,2,1176313.995,1899253.602,41.878917,-87.6280725,"(41.87891700094044, -87.6280725000019)"
SR25-00406452,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,3/13/2025 22:49,3/13/2025 22:50,,222 W 75TH ST,Chicago,Illinois,60621,222,W,75TH,ST,FALSE,FALSE,,,69,6,,P039,3,7,731,19,,22,5,3,1175962.239,1855267.371,41.75822281,-87.63068478,"(41.75822280866628, -87.63068477914499)"
SR25-00006184,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,1/2/2025 12:33,1/2/2025 12:33,,2227 W BELDEN AVE,Chicago,Illinois,60647,2227,W,BELDEN,AVE,FALSE,FALSE,,,22,32,,K017,3,14,1432,16,,12,5,1,1160999.379,1915289.009,41.923251,-87.683859,"(41.92325100094057, -87.68385900000192)"
SR24-00983872,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,5/27/2024 14:52,5/27/2024 14:52,,2230 S KILDARE AVE,Chicago,Illinois,60623,2230,S,KILDARE,AVE,FALSE,FALSE,,,29,22,,F027,1,10,1013,21,,14,2,5,1148209.431,1888632.945,41.85036,-87.731541,"(41.850360000940356, -87.73154100000193)"
SR25-00479958,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,3/26/2025 11:22,3/26/2025 11:22,,2231 S DRAKE AVE,,,,2231,S,DRAKE,AVE,FALSE,FALSE,,,30,22,,H027,2,10,1024,18,,11,4,3,1153119.851,1888812.181,41.850756,-87.713514,"(41.850756000940336, -87.71351400000191)"
SR25-00256921,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,2/17/2025 13:48,2/17/2025 13:49,,2244 E 100TH ST,Chicago,Illinois,60617,2244,E,100TH,ST,FALSE,FALSE,,,51,7,,V046,3,4,431,42,,13,2,2,1192972.028,1839134.558,41.71355475,-87.56887162,"(41.71355475171665, -87.56887162135878)"
SR25-00488035,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,3/27/2025 12:29,3/27/2025 12:29,,2248 E 100TH ST,Chicago,Illinois,60617,2248,E,100TH,ST,FALSE,FALSE,,,51,7,,V046,3,4,431,42,,12,5,3,1193004.966,1839195.799,41.713722,-87.568749,"(41.713722000939846, -87.5687490000019)"
SR25-00256956,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,2/17/2025 13:50,2/17/2025 13:51,,2250 E 100TH ST,Chicago,Illinois,60617,2250,E,100TH,ST,FALSE,FALSE,,,51,7,,V046,3,4,431,42,,13,2,2,1193025.882,1839192.705,41.713713,-87.5686725,"(41.713713000939876, -87.5686725000019)"
SR24-01869670,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,10/7/2024 9:07,10/7/2024 9:08,,2264 W 37TH ST,Chicago,Illinois,60609,2264,W,37TH,ST,FALSE,FALSE,,,59,12,,K030,1,9,912,3,,9,2,10,1161613.479,1880167.283,41.826861,-87.682581,"(41.82686100094026, -87.68258100000192)"
SR24-01529284,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,8/12/2024 12:41,8/12/2024 12:41,,2321 S KILDARE AVE,Chicago,Illinois,60623,2321,S,KILDARE,AVE,FALSE,FALSE,,,29,22,,F027,1,10,1013,21,,12,2,8,1148324.606,1888168.817,41.84908416,-87.73113023,"(41.84908415592836, -87.73113023001426)"
SR25-00163925,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,1/31/2025 13:42,1/31/2025 13:42,,2324 E 96TH ST,,,,2324,E,96TH,ST,FALSE,FALSE,,,51,7,,V045,3,4,431,40,,13,6,1,1193477.195,1842050.114,41.721543,-87.5669265,"(41.72154300093988, -87.5669265000019)"
SR25-00382205,Vacant/Abandoned Building Complaint,BBK,Streets and Sanitation,DOB - Buildings,Open,Phone Call,3/10/2025 18:36,3/10/2025 18:36,,233 W 105TH PL,Chicago,Illinois,60628,233,W,105TH,PL,FALSE,FALSE,,,49,21,,P047,1,5,512,4,,18,2,3,1176462.093,1834909.159,41.702346,-87.629463,"(41.7023460009398, -87.62946300000192)"
SR25-00418654,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,3/15/2025 23:04,3/15/2025 23:04,,2352 S MARSHALL BLVD,Chicago,Illinois,60623,2352,S,MARSHALL,BLVD,FALSE,FALSE,,,30,24,,I027,3,10,1033,22,,23,7,3,1156914.229,1888029.778,41.848533,-87.699609,"(41.84853300094033, -87.6996090000019)"
SR24-01554880,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,8/15/2024 22:39,8/15/2024 22:39,,2352 S MARSHALL BLVD,Chicago,Illinois,60623,2352,S,MARSHALL,BLVD,FALSE,FALSE,,,30,24,,I027,3,10,1033,22,,22,5,8,1156914.229,1888029.778,41.848533,-87.699609,"(41.84853300094033, -87.6996090000019)"
SR25-00354424,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,3/6/2025 11:07,3/6/2025 11:07,,239 W SWANN ST,Chicago,Illinois,60609,239,W,SWANN,ST,FALSE,FALSE,,,37,20,,P032,2,9,925,5,,11,5,3,1175304.135,1874020.456,41.809698,-87.6325365,"(41.8096980009402, -87.63253650000192)"
SR25-00394109,Vacant/Abandoned Building Complaint,BBK,DOB - Buildings,DOB - Buildings,Open,Phone Call,3/12/2025 11:44,3/12/2025 11:44,,241 E 41ST ST,Chicago,Illinois,60653,241,E,41ST,ST,FALSE,FALSE,,,38,3,,Q031,1,2,213,20,,11,4,3,1178462.684,1877840.918,41.82011041,-87.62083534,"(41.82011041307115, -87.62083534447105)"
SR25-00474999,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,3/25/2025 14:21,3/25/2025 14:21,,2410 N CENTRAL AVE,,,,2410,N,CENTRAL,AVE,FALSE,FALSE,,,19,30,,B016,1,25,2515,6,,14,3,3,1138624.022,1915526.806,41.92433915,-87.76606916,"(41.92433914787905, -87.76606915641916)"
SR25-00466147,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,3/24/2025 9:40,3/24/2025 9:40,,2416 N WESTERN AVE,,,,2416,N,WESTERN,AVE,FALSE,FALSE,,,22,1,,J016,3,14,1431,42,,9,2,3,1159886.139,1916100.554,41.925501,-87.687927,"(41.92550100094058, -87.68792700000192)"
SR25-00499607,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,3/29/2025 9:59,3/29/2025 9:59,,2424 W TOUHY AVE,Chicago,Illinois,60645,2424,W,TOUHY,AVE,FALSE,FALSE,,,2,50,,J004,1,24,2411,9,,9,7,3,1158750.777,1947814.476,42.012549,-87.6912255,"(42.01254900094088, -87.6912255000019)"
SR25-00091345,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,1/17/2025 15:39,1/17/2025 15:39,,244 W 109TH PL,Chicago,Illinois,60628,244,W,109TH,PL,FALSE,FALSE,,,49,9,,P048,1,5,513,28,,15,6,1,1176402.739,1832396.417,41.695452,-87.6297555,"(41.69545200093982, -87.6297555000019)"
SR25-00385010,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,3/11/2025 9:20,3/11/2025 9:20,,2441 W LEXINGTON ST,,,,2441,W,LEXINGTON,ST,FALSE,FALSE,,,28,28,7,J024,3,11,1135,11,,9,3,3,1160065.001,1896560.945,41.871879,-87.68781,"(41.87187900094044, -87.6878100000019)"
SR25-00295160,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,2/24/2025 14:12,2/24/2025 14:12,,2447 E 96TH ST,Chicago,Illinois,60617,2447,E,96TH,ST,FALSE,FALSE,,,51,7,,W045,3,4,431,15,,14,2,2,1194261.856,1841545.468,41.720139,-87.564069,"(41.720139000939916, -87.56406900000191)"
SR24-02132050,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,11/21/2024 13:37,11/21/2024 13:37,,2447 E 96TH ST,Chicago,Illinois,60617,2447,E,96TH,ST,FALSE,FALSE,,,51,7,,W045,3,4,431,15,,13,5,11,1194261.856,1841545.468,41.720139,-87.564069,"(41.720139000939916, -87.56406900000191)"
SR24-01598331,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,8/22/2024 14:55,8/22/2024 14:55,,2447 W MARQUETTE RD,Chicago,Illinois,60629,2447,W,MARQUETTE,RD,FALSE,FALSE,,,66,16,,J038,3,8,832,8,,14,5,8,1161004.532,1860067.778,41.771718,-87.685371,"(41.77171800094006, -87.68537100000191)"
SR25-00142292,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,1/27/2025 23:26,1/27/2025 23:26,,2448 W 24TH ST,Chicago,Illinois,60608,2448,W,24TH,ST,FALSE,FALSE,,,31,25,,J027,3,10,1034,5,,23,2,1,1160312.478,1888107.579,41.848677,-87.687135,"(41.84867700094034, -87.68713500000192)"
SR25-00396615,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,3/12/2025 15:36,3/12/2025 16:00,,25 S OAKLEY BLVD,Chicago,Illinois,60612,25,S,OAKLEY,BLVD,FALSE,FALSE,,,28,27,,K023,2,12,1223,25,,15,4,3,1161162.908,1899678.453,41.880411,-87.6836925,"(41.880411000940455, -87.68369250000191)"
SR25-00030490,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,1/7/2025 10:03,1/7/2025 10:03,,2505 E 96TH ST,Chicago,Illinois,60617,2505,E,96TH,ST,FALSE,FALSE,,,51,7,,W045,3,4,431,15,,10,3,1,1194503.873,1841547.632,41.720139,-87.5631825,"(41.720139000939895, -87.5631825000019)"
SR25-00259885,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,2/18/2025 7:49,2/18/2025 7:49,,2518 E 72ND ST,Chicago,Illinois,60649,2518,E,72ND,ST,FALSE,FALSE,,,43,7,,W039,3,3,334,6,,7,3,2,1194382.276,1858152.088,41.765706,-87.5630835,"(41.76570600094003, -87.5630835000019)"
SR25-00452453,Vacant/Abandoned Building Complaint,BBK,DOB - Buildings,DOB - Buildings,Open,Phone Call,3/21/2025 10:53,3/21/2025 10:54,,2518 S SACRAMENTO AVE,Chicago,Illinois,60623,2518,S,SACRAMENTO,AVE,FALSE,FALSE,,,30,25,,I027,3,10,1033,22,,10,6,3,1156697.183,1887034.414,41.845806,-87.7004325,"(41.84580600094038, -87.7004325000019)"
SR25-00274872,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,2/20/2025 13:58,2/20/2025 13:58,,2533 N NEW ENGLAND AVE,,,,2533,N,NEW ENGLAND,AVE,FALSE,FALSE,,,18,36,,Y116,1,25,2512,27,,13,5,2,1130067.712,1916232.982,41.926428,-87.797493,"(41.926428000940604, -87.79749300000191)"
SR25-00440165,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,3/19/2025 12:34,3/19/2025 12:34,,2543 N LARAMIE AVE,,,,2543,N,LARAMIE,AVE,FALSE,FALSE,,,19,31,,D016,2,25,2521,28,,12,4,3,1141300.005,1916615.442,41.92727748,-87.75620942,"(41.927277479478974, -87.7562094178328)"
SR25-00394382,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,3/12/2025 12:12,3/12/2025 12:12,,255 E 136TH ST,Chicago,Illinois,60827,255,E,136TH,ST,TRUE,FALSE,,SR25-00393315,54,10,,Q055,3,5,533,26,,12,4,3,1180576.289,1815041.888,41.647734,-87.6150045,"(41.64773400093963, -87.61500450000192)"
SR25-00393315,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,3/12/2025 10:26,3/12/2025 12:12,,255 E 136TH ST,Chicago,Illinois,60827,255,E,136TH,ST,FALSE,FALSE,,,54,10,,Q055,3,5,533,26,,10,4,3,1180576.289,1815041.888,41.647734,-87.6150045,"(41.64773400093963, -87.61500450000192)"
SR24-02212536,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,12/7/2024 15:00,12/7/2024 15:00,,255 W 108TH ST,Chicago,Illinois,60628,255,W,108TH,ST,FALSE,FALSE,,,49,21,,P048,1,5,513,39,,15,7,12,1176282.765,1833241.602,41.697774,-87.6301695,"(41.697774000939795, -87.63016950000191)"
SR25-00372992,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,3/9/2025 17:20,3/9/2025 17:20,,2550 E 81ST ST,Chicago,Illinois,60617,2550,E,81ST,ST,FALSE,FALSE,,,46,7,,W041,2,4,422,19,,17,1,3,1194804.885,1851825.876,41.748336,-87.5617425,"(41.74833600093999, -87.5617425000019)"
SR24-02267925,Vacant/Abandoned Building Complaint,BBK,Streets and Sanitation,DOB - Buildings,Open,Phone Call,12/17/2024 16:42,12/17/2024 16:42,,256 W 106TH ST,Chicago,Illinois,60628,256,W,106TH,ST,FALSE,FALSE,,,49,21,,P047,1,5,512,4,,16,3,12,1176217.956,1834707.103,41.701797,-87.630363,"(41.701797000939834, -87.63036300000192)"
SR25-00251790,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,2/16/2025 11:22,2/16/2025 12:00,,2618 E 88TH ST,Chicago,Illinois,60617,2618,E,88TH,ST,FALSE,FALSE,,,46,7,,W043,2,4,423,31,,11,1,2,1195260.304,1847163.198,41.73553001,-87.56022722,"(41.735530011173175, -87.56022721845943)"
SR24-02280700,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,12/19/2024 18:31,12/19/2024 18:31,,2623 S KARLOV AVE,Chicago,Illinois,60623,2623,S,KARLOV,AVE,FALSE,FALSE,,,30,22,,F028,3,10,1031,17,,18,5,12,1149568.382,1886140.074,41.843493,-87.726618,"(41.84349300094029, -87.72661800000192)"
SR24-01722784,Vacant/Abandoned Building Complaint,BBK,DOB - Buildings,DOB - Buildings,Open,Phone Call,9/12/2024 10:28,9/12/2024 10:28,,2650 S KILDARE AVE,Chicago,Illinois,60623,2650,S,KILDARE,AVE,FALSE,FALSE,,,30,22,,F028,3,10,1031,6,,10,5,9,1148085.732,1885811.514,41.84262,-87.7320675,"(41.84262000094033, -87.73206750000192)"
SR25-00339887,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,3/4/2025 10:36,3/4/2025 10:36,,2724 N LEHMANN CT,Chicago,Illinois,60614,2724,N,LEHMANN,CT,FALSE,FALSE,,,7,43,,O016,3,19,1935,42,,10,3,3,1171854.93,1918676.543,41.932314,-87.643872,"(41.93231400094062, -87.64387200000192)"
SR25-00313878,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,2/27/2025 10:46,2/27/2025 10:46,,2725 E 76TH ST,Chicago,Illinois,60649,2725,E,76TH,ST,FALSE,FALSE,,,43,7,,W040,2,4,421,14,,10,5,2,1196022.036,1855215.01,41.757606,-87.5571705,"(41.757606000940015, -87.5571705000019)"
SR25-00429139,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,3/17/2025 19:00,3/17/2025 19:00,,2728 S SPAULDING AVE,Chicago,Illinois,60623,2728,S,SPAULDING,AVE,FALSE,FALSE,,,30,22,,H028,3,10,1032,15,,19,2,3,1154742.378,1885557.326,41.841792,-87.707646,"(41.841792000940295, -87.7076460000019)"
SR24-01572246,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,8/19/2024 8:58,8/19/2024 8:58,,2728 S SPAULDING AVE,Chicago,Illinois,60623,2728,S,SPAULDING,AVE,FALSE,FALSE,,,30,22,,H028,3,10,1032,15,,8,2,8,1154742.378,1885557.326,41.841792,-87.707646,"(41.841792000940295, -87.7076460000019)"
SR24-01710008,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Alderman's Office,9/10/2024 11:44,9/10/2024 11:44,,2737 S KOMENSKY AVE,Chicago,Illinois,60623,2737,S,KOMENSKY,AVE,FALSE,FALSE,,,30,22,,F028,3,10,1031,24,,11,3,9,1149896.664,1885322.463,41.841243,-87.7254345,"(41.841243000940274, -87.7254345000019)"
SR25-00380511,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,3/10/2025 15:23,3/10/2025 15:23,,2755 N TROY ST,,,,2755,N,TROY,ST,FALSE,FALSE,,,22,35,,I016,1,14,1411,28,,15,2,3,1154975.778,1918373.083,41.931837,-87.705909,"(41.93183700094062, -87.70590900000191)"
SR24-01339646,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Internet,7/16/2024 9:21,7/16/2024 10:00,,2758 S RIDGEWAY AVE,Chicago,Illinois,,2758,S,RIDGEWAY,AVE,FALSE,FALSE,,,30,22,,G028,3,10,1031,25,,9,3,7,1151825.627,1885128.228,41.84067231,-87.71836092,"(41.84067231215523, -87.71836091857962)"
SR24-02101444,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,11/16/2024 8:18,11/16/2024 8:18,,2759 N LEAVITT ST,,,,2759,N,LEAVITT,ST,FALSE,FALSE,,,7,32,,K016,3,19,1931,28,,8,7,11,1161937.564,1918497.224,41.932035,-87.680322,"(41.93203500094061, -87.6803220000019)"
SR25-00433670,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,3/18/2025 13:37,3/18/2025 14:00,,2759 N OAK PARK AVE,,,,2759,N,OAK PARK,AVE,TRUE,FALSE,,SR25-00383803,18,36,,Z116,1,25,2512,19,,13,3,3,1130693.363,1917814.454,41.930757,-87.7951575,"(41.93075700094062, -87.79515750000192)"
SR25-00383803,Vacant/Abandoned Building Complaint,BBK,,DOB - Buildings,Open,Mobile Device,3/11/2025 6:01,3/18/2025 13:37,,2759 N OAK PARK AVE,,,,2759,N,OAK PARK,AVE,FALSE,FALSE,,,18,36,,Z116,1,25,2512,19,,6,3,3,1130693.363,1917814.454,41.930757,-87.7951575,"(41.93075700094062, -87.79515750000192)"
SR25-00204661,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,2/7/2025 10:47,2/7/2025 10:47,,2800 E 130TH ST,Chicago,Illinois,60633,2800,E,130TH,ST,FALSE,FALSE,,,55,10,,W053,3,4,433,9,,10,6,2,1196811.696,1819452.974,41.659452,-87.5554605,"(41.659452000939666, -87.55546050000191)"
SR24-01268394,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,7/6/2024 17:37,7/6/2024 17:37,,2802 E 77TH ST,Chicago,Illinois,60649,2802,E,77TH,ST,FALSE,FALSE,,,43,7,,W040,2,4,421,12,,17,7,7,1196105.869,1854470.608,41.75556123,-87.55688789,"(41.75556123210264, -87.55688789180546)"
SR25-00404602,Vacant/Abandoned Building Complaint,BBK,Alderman,DOB - Buildings,Open,Alderman's Office,3/13/2025 16:38,3/13/2025 16:38,,2803 E 76TH PL,Chicago,Illinois,60649,2803,E,76TH,PL,FALSE,FALSE,,,43,7,,W040,2,4,421,14,,16,5,3,1196099.493,1854795.895,41.756454,-87.5569005,"(41.75645400094001, -87.55690050000187)"
SR25-00482510,Vacant/Abandoned Building Complaint,BBK,311 City Services,DOB - Buildings,Open,Phone Call,3/26/2025 15:52,3/26/2025 15:52,,2814 S KEDVALE AVE,Chicago,Illinois,60623,2814,S,KEDVALE,AVE,FALSE,FALSE,,,30,22,,F028,3,10,1031,24,,15,4,3,1149097.963,1884857.662,41.839983,-87.7283775,"(41.83998300094028, -87.72837750000191)"
